Country,Year,Population
El Salvador,2016,6356143
El Salvador,2017,6388122
El Salvador,2018,6420744
El Salvador,2019,6453553
Ethiopia,2002,70142091
Ethiopia,2003,72170584
Ethiopia,2004,74239505
Ethiopia,2005,76346311
Ethiopia,2006,78489206
Ethiopia,2007,80674348
Ethiopia,2008,82916235
Ethiopia,2009,85233913
Ethiopia,2010,87639964
Ethiopia,2011,90139927
Ethiopia,2012,92726971
Ethiopia,2013,95385785
Ethiopia,2014,98094253
Ethiopia,2015,100835458
Ethiopia,2016,103603501
Ethiopia,2017,106400024
Ethiopia,2018,109224559
Ethiopia,2019,112078730
Guatemala,2002,12147518
Guatemala,2003,12415334
Guatemala,2004,12682108
Guatemala,2005,12948292
Guatemala,2006,13213330
Guatemala,2007,13477017
Guatemala,2008,13739299
Guatemala,2009,14000190
Guatemala,2010,14259687
Guatemala,2011,14521515
Guatemala,2012,14781942
Guatemala,2013,15043981
Guatemala,2014,15306316
Guatemala,2015,15567419
Guatemala,2016,15827690
Guatemala,2017,16087418
Guatemala,2018,16346950
Guatemala,2019,16604026
Haiti,2002,8754150
Haiti,2003,8900104
Haiti,2004,9047077
Haiti,2005,9195288
Haiti,2006,9344785
Haiti,2007,9495328
Haiti,2008,9646580
Haiti,2009,9798046
Haiti,2010,9949322
Haiti,2011,10100320
Haiti,2012,10250930
Haiti,2013,10400673
Haiti,2014,10549008
Haiti,2015,10695542
Haiti,2016,10839970
Haiti,2017,10982366
Haiti,2018,11123176
Haiti,2019,11263077
Honduras,2002,6929265
Honduras,2003,7106319
Honduras,2004,7282953
Honduras,2005,7458985
Honduras,2006,7634298
Honduras,2007,7808518
Honduras,2008,7980955
Honduras,2009,8150775
Honduras,2010,8317470
Honduras,2011,8480671
Honduras,2012,8640691
Honduras,2013,8798521
Honduras,2014,8955589
Honduras,2015,9112916
Honduras,2016,9270795
Honduras,2017,9429013
Honduras,2018,9587522
Honduras,2019,9746117
India,2002,1093317189
India,2003,1111523144
India,2004,1129623456
India,2005,1147609927
India,2006,1165486291
India,2007,1183209472
India,2008,1200669765
India,2009,1217726215
India,2010,1234281170
India,2011,1250288729
India,2012,1265782790
India,2013,1280846129
India,2014,1295604184
India,2015,1310152403
India,2016,1324509589
India,2017,1338658835
India,2018,1352617328
India,2019,1366417754
Indonesia,2002,217357793
Indonesia,2003,220309469
Indonesia,2004,223285676
Indonesia,2005,226289470
Indonesia,2006,229318262
Indonesia,2007,232374245
Indonesia,2008,235469762
Indonesia,2009,238620563
Indonesia,2010,241834215
Indonesia,2011,245116206
Indonesia,2012,248452413
Indonesia,2013,251806402
Indonesia,2014,255129004
Indonesia,2015,258383256
Indonesia,2016,261554226
Indonesia,2017,264645886
Indonesia,2018,267663435
Indonesia,2019,270625568
Iran (Islamic Republic of),2002,67284796
Iran (Islamic Republic of),2003,68122938
Iran (Islamic Republic of),2004,68951281
Iran (Islamic Republic of),2005,69762347
Iran (Islamic Republic of),2006,70554760
Iran (Islamic Republic of),2007,71336475
Iran (Islamic Republic of),2008,72120604
Iran (Islamic Republic of),2009,72924837
Iran (Islamic Republic of),2010,73762519
Iran (Islamic Republic of),2011,74634956
Iran (Islamic Republic of),2012,75539862
Iran (Islamic Republic of),2013,76481943
Iran (Islamic Republic of),2014,77465753
Iran (Islamic Republic of),2015,78492215
Iran (Islamic Republic of),2016,79564016
Iran (Islamic Republic of),2017,80673951
Iran (Islamic Republic of),2018,81800269
Iran (Islamic Republic of),2019,82913906
Jamaica,2002,2692845
Jamaica,2003,2709437
Jamaica,2004,2725015
Jamaica,2005,2740003
Jamaica,2006,2754407
Jamaica,2007,2768227
Jamaica,2008,2781876
Jamaica,2009,2795837
Jamaica,2010,2810460
Jamaica,2011,2825929
Jamaica,2012,2842132
Jamaica,2013,2858709
Jamaica,2014,2875136
Jamaica,2015,2891021
Jamaica,2016,2906238
Jamaica,2017,2920853
Jamaica,2018,2934855
Jamaica,2019,2948279
Kenya,2002,33751739
Kenya,2003,34678779
Kenya,2004,35635271
Kenya,2005,36624895
Kenya,2006,37649033
Kenya,2007,38705932
Kenya,2008,39791981
Kenya,2009,40901792
Kenya,2010,42030676
Kenya,2011,43178257
Kenya,2012,44343410
Kenya,2013,45519889
Kenya,2014,46699981
Kenya,2015,47878336
Kenya,2016,49051686
Kenya,2017,50221473
Kenya,2018,51393010
Kenya,2019,52573973
Kyrgyzstan,2002,4990700
Kyrgyzstan,2003,5043300
Kyrgyzstan,2004,5104700
Kyrgyzstan,2005,5162600
Kyrgyzstan,2006,5218400
Kyrgyzstan,2007,5268400
Kyrgyzstan,2008,5318700
Kyrgyzstan,2009,5383300
Kyrgyzstan,2010,5447900
Kyrgyzstan,2011,5514600
Kyrgyzstan,2012,5607200
Kyrgyzstan,2013,5719600
Kyrgyzstan,2014,5835500
Kyrgyzstan,2015,5956900
Kyrgyzstan,2016,6079500
Kyrgyzstan,2017,6198200
Kyrgyzstan,2018,6322800
Kyrgyzstan,2019,6456900
Laos,2002,5493246
Laos,2003,5576640
Laos,2004,5662208
Laos,2005,5751676
Laos,2006,5846074
Laos,2007,5944948
Laos,2008,6046620
Laos,2009,6148623
Laos,2010,6249165
Laos,2011,6347567
Laos,2012,6444530
Laos,2013,6541304
Laos,2014,6639756
Laos,2015,6741164
Laos,2016,6845846
Laos,2017,6953035
Laos,2018,7061507
Laos,2019,7169455
Madagascar,2002,16765117
Madagascar,2003,17279141
Madagascar,2004,17802997
Madagascar,2005,18336724
Madagascar,2006,18880269
Madagascar,2007,19433530
Madagascar,2008,19996473
Madagascar,2009,20569117
Madagascar,2010,21151640
Madagascar,2011,21743967
Madagascar,2012,22346641
Madagascar,2013,22961253
Madagascar,2014,23589887
Madagascar,2015,24234088
Madagascar,2016,24894380
Madagascar,2017,25570540
Madagascar,2018,26262368
Madagascar,2019,26969307
Mexico,2002,101684758
Mexico,2003,103081020
Mexico,2004,104514932
Mexico,2005,106005203
Mexico,2006,107560153
Mexico,2007,109170502
Mexico,2008,110815271
Mexico,2009,112463887
Mexico,2010,114092963
Mexico,2011,115695473
Mexico,2012,117274155
Mexico,2013,118827161
Mexico,2014,120355128
Mexico,2015,121858258
Mexico,2016,123333376
Mexico,2017,124777324
Mexico,2018,126190788
Mexico,2019,127575529
Morocco,2002,29454768
Morocco,2003,29782884
Morocco,2004,30115214
Morocco,2005,30455561
Morocco,2006,30804683
Morocco,2007,31163673
Morocco,2008,31536811
Morocco,2009,31929087
Morocco,2010,32343389
Morocco,2011,32781850
Morocco,2012,33241898
Morocco,2013,33715693
Morocco,2014,34192347
Morocco,2015,34663603
Morocco,2016,35126296
Morocco,2017,35581294
Morocco,2018,36029138
Morocco,2019,36471769
Mozambique,2002,18764155
Mozambique,2003,19331100
Mozambique,2004,19910552
Mozambique,2005,20493925
Mozambique,2006,21080110
Mozambique,2007,21673316
Mozambique,2008,22276596
Mozambique,2009,22894710
Mozambique,2010,23531574
Mozambique,2011,24187487
Mozambique,2012,24862648
Mozambique,2013,25560725
Mozambique,2014,26286163
Mozambique,2015,27042002
Mozambique,2016,27829942
Mozambique,2017,28649007
Mozambique,2018,29495962
Mozambique,2019,30366036
Myanmar,2002,47702171
Myanmar,2003,48148902
Myanmar,2004,48564484
Myanmar,2005,48949924
Myanmar,2006,49301050
Myanmar,2007,49621475
Myanmar,2008,49929642
Myanmar,2009,50250367
Myanmar,2010,50600818
Myanmar,2011,50990615
Myanmar,2012,51413698
Myanmar,2013,51852451
Myanmar,2014,52280807
Myanmar,2015,52680726
Myanmar,2016,53045226
Myanmar,2017,53382581
Myanmar,2018,53708395
Myanmar,2019,54045420
Namibia,2002,1851523
Namibia,2003,1879117
Namibia,2004,1907745
Namibia,2005,1938320
Namibia,2006,1971317
Namibia,2007,2006514
Namibia,2008,2043394
Namibia,2009,2081044
Namibia,2010,2118874
Namibia,2011,2156701
Namibia,2012,2194784
Namibia,2013,2233510
Namibia,2014,2273430
Namibia,2015,2314904
Namibia,2016,2358041
Namibia,2017,2402603
Namibia,2018,2448255
Namibia,2019,2494530
Nepal,2002,24725627
Nepal,2003,25080872
Nepal,2004,25419344
Nepal,2005,25744500
Nepal,2006,26066693
Nepal,2007,26382581
Nepal,2008,26666576
Nepal,2009,26883535
Nepal,2010,27013212
Nepal,2011,27041437
Nepal,2012,26989862
Nepal,2013,26917906
Nepal,2014,26906926
Nepal,2015,27015031
Nepal,2016,27261131
Nepal,2017,27627124
Nepal,2018,28087871
Nepal,2019,28608710
Nicaragua,2002,5219328
Nicaragua,2003,5292118
Nicaragua,2004,5364935
Nicaragua,2005,5438690
Nicaragua,2006,5513763
Nicaragua,2007,5590055
Nicaragua,2008,5667432
Nicaragua,2009,5745526
Nicaragua,2010,5824065
Nicaragua,2011,5903039
Nicaragua,2012,5982526
Nicaragua,2013,6062454
Nicaragua,2014,6142733
Nicaragua,2015,6223240
Nicaragua,2016,6303974
Nicaragua,2017,6384855
Nicaragua,2018,6465513
Nicaragua,2019,6545502
Niger (the),2002,12189983
Niger (the),2003,12647984
Niger (the),2004,13125916
Niger (the),2005,13624467
Niger (the),2006,14143971
Niger (the),2007,14685399
Niger (the),2008,15250908
Niger (the),2009,15843133
Niger (the),2010,16464025
Niger (the),2011,17114761
Niger (the),2012,17795191
Niger (the),2013,18504255
Niger (the),2014,19240157
Niger (the),2015,20001663
Niger (the),2016,20788838
Niger (the),2017,21602472
Niger (the),2018,22442948
Niger (the),2019,23310715
Pakistan,2002,149549700
Pakistan,2003,153093373
Pakistan,2004,156664697
Pakistan,2005,160304008
Pakistan,2006,164022627
Pakistan,2007,167808105
Pakistan,2008,171648986
Pakistan,2009,175525609
Pakistan,2010,179424641
Pakistan,2011,183340592
Pakistan,2012,187281475
Pakistan,2013,191262919
Pakistan,2014,195306825
Pakistan,2015,199426964
Pakistan,2016,203627284
Pakistan,2017,207896686
Pakistan,2018,212215030
Pakistan,2019,216565318
Peru,2002,27100968
Peru,2003,27372226
Peru,2004,27624213
Peru,2005,27866145
Peru,2006,28102056
Peru,2007,28333052
Peru,2008,28562317
Peru,2009,28792655
Peru,2010,29027674
Peru,2011,29264318
Peru,2012,29506788
Peru,2013,29773987
Peru,2014,30090359
Peru,2015,30470734
Peru,2016,30926032
Peru,2017,31444297
Peru,2018,31989256
Peru,2019,32510453
Philippines (the),2002,81365258
Philippines (the),2003,83051971
Philippines (the),2004,84710542
Philippines (the),2005,86326250
Philippines (the),2006,87888675
Philippines (the),2007,89405482
Philippines (the),2008,90901965
Philippines (the),2009,92414158
Philippines (the),2010,93966780
Philippines (the),2011,95570047
Philippines (the),2012,97212638
Philippines (the),2013,98871552
Philippines (the),2014,100513138
Philippines (the),2015,102113212
Philippines (the),2016,103663927
Philippines (the),2017,105173264
Philippines (the),2018,106651922
Philippines (the),2019,108116615
Romania,2002,21730496
Romania,2003,21574326
Romania,2004,21451748
Romania,2005,21319685
Romania,2006,21193760
Romania,2007,20882982
Romania,2008,20537875
Romania,2009,20367487
Romania,2010,20246871
Romania,2011,20147528
Romania,2012,20058035
Romania,2013,19983693
Romania,2014,19908979
Romania,2015,19815616
Romania,2016,19702267
Romania,2017,19587290
Romania,2018,19472545
Romania,2019,19356544
Somalia,2002,9501342
Somalia,2003,9815412
Somalia,2004,10130243
Somalia,2005,10446863
Somalia,2006,10763905
Somalia,2007,11080121
Somalia,2008,11397188
Somalia,2009,11717692
Somalia,2010,12043883
Somalia,2011,12376302
Somalia,2012,12715510
Somalia,2013,13063706
Somalia,2014,13423576
Somalia,2015,13797201
Somalia,2016,14185613
Somalia,2017,14589119
Somalia,2018,15008154
Somalia,2019,15442905
South Africa,2002,46150913
South Africa,2003,46719196
South Africa,2004,47291610
South Africa,2005,47880601
South Africa,2006,48489459
South Africa,2007,49119759
South Africa,2008,49779471
South Africa,2009,50477011
South Africa,2010,51216964
South Africa,2011,52004172
South Africa,2012,52834005
South Africa,2013,53689236
South Africa,2014,54545991
South Africa,2015,55386367
South Africa,2016,56203654
South Africa,2017,57000451
South Africa,2018,57779622
South Africa,2019,58558270
Sri Lanka,2002,19062482
Sri Lanka,2003,19224037
Sri Lanka,2004,19387153
Sri Lanka,2005,19544988
Sri Lanka,2006,19695972
Sri Lanka,2007,19842044
Sri Lanka,2008,19983984
Sri Lanka,2009,20123508
Sri Lanka,2010,20261737
Sri Lanka,2011,20398670
Sri Lanka,2012,20425000
Sri Lanka,2013,20585000
Sri Lanka,2014,20778000
Sri Lanka,2015,20970000
Sri Lanka,2016,21203000
Sri Lanka,2017,21444000
Sri Lanka,2018,21670000
Sri Lanka,2019,21803000
Tajikistan,2002,6426867
Tajikistan,2003,6541547
Tajikistan,2004,6662389
Tajikistan,2005,6789321
Tajikistan,2006,6922587
Tajikistan,2007,7062672
Tajikistan,2008,7209930
Tajikistan,2009,7364753
Tajikistan,2010,7527394
Tajikistan,2011,7697510
Tajikistan,2012,7874835
Tajikistan,2013,8059769
Tajikistan,2014,8252833
Tajikistan,2015,8454028
Tajikistan,2016,8663579
Tajikistan,2017,8880268
Tajikistan,2018,9100837
Tajikistan,2019,9321018
Viet Nam,2002,81534407
Viet Nam,2003,82301656
Viet Nam,2004,83062821
Viet Nam,2005,83832661
Viet Nam,2006,84617540
Viet Nam,2007,85419591
Viet Nam,2008,86243413
Viet Nam,2009,87092252
Viet Nam,2010,87967651
Viet Nam,2011,88871561
Viet Nam,2012,89802487
Viet Nam,2013,90753472
Viet Nam,2014,91714595
Viet Nam,2015,92677076
Viet Nam,2016,93638724
Viet Nam,2017,94596642
Viet Nam,2018,95540395
Viet Nam,2019,96462106
Yemen,2002,18443691
Yemen,2003,18985000
Yemen,2004,19540098
Yemen,2005,20107409
Yemen,2006,20687646
Yemen,2007,21282515
Yemen,2008,21892146
Yemen,2009,22516460
Yemen,2010,23154855
Yemen,2011,23807588
Yemen,2012,24473178
Yemen,2013,25147109
Yemen,2014,25823485
Yemen,2015,26497889
Yemen,2016,27168210
Yemen,2017,27834821
Yemen,2018,28498687
Yemen,2019,29161922
